Bitcoin,Ethereum,XRP,Bitcoin Cash,Litecoin,EOS,TRON,Cardano,Monero,NEO,IOTA,Dash,Ethereum Classic,NEM,Dogecoin,Zcash,Decred,Qtum,Bitcoin Gold,Lisk,Stellar
0.48%,0.38%,-0.29%,3.94%,1.30%,0.02%,1.17%,3.18%,0.58%,3.99%,3.53%,-1.46%,1.61%,-1.29%,0.84%,2.15%,4.76%,1.05%,4.82%,15.19%,-0.77%
0.87%,3.09%,0.74%,7.62%,4.33%,2.96%,2.41%,4.36%,2.38%,-0.46%,1.08%,0.82%,2.13%,-1.85%,0.34%,1.73%,1.84%,-0.20%,1.35%,-3.65%,0.53%
2.14%,3.25%,1.71%,9.45%,4.83%,2.99%,0.90%,3.01%,2.01%,2.08%,1.67%,2.40%,2.05%,1.04%,1.47%,2.59%,-1.53%,0.28%,1.39%,-0.85%,1.65%
-0.56%,-1.57%,-0.87%,-0.86%,-1.03%,-1.51%,-0.98%,-2.70%,-2.14%,-2.44%,-2.84%,0.58%,-1.30%,-1.88%,0.00%,-0.70%,1.35%,-0.71%,-2.24%,1.17%,-0.18%
0.06%,-0.52%,-0.09%,3.99%,-1.66%,-0.79%,-0.68%,0.28%,-0.19%,-0.83%,-0.82%,-1.07%,-0.58%,0.20%,0.34%,-0.55%,-1.32%,0.00%,-0.36%,-2.89%,5.87%
0.95%,0.91%,0.80%,-0.10%,0.65%,0.85%,0.20%,4.24%,2.39%,0.94%,0.50%,-0.10%,4.81%,-0.69%,0.38%,4.75%,-1.37%,0.43%,0.40%,1.64%,-2.54%
0.41%,0.14%,0.08%,-1.11%,0.28%,-0.87%,-0.08%,2.22%,1.63%,0.87%,0.76%,1.36%,0.53%,-0.56%,-1.10%,3.46%,-0.11%,0.92%,0.57%,0.80%,-1.92%
-1.34%,-2.74%,-2.26%,-3.75%,-2.45%,-2.26%,-2.66%,-1.96%,-3.80%,-3.87%,4.60%,-2.78%,2.45%,2.40%,-0.53%,-5.02%,-2.45%,-1.39%,-3.37%,-2.38%,-3.19%
-0.11%,0.45%,0.06%,2.35%,0.88%,-0.31%,1.35%,9.75%,0.14%,2.13%,-1.29%,0.45%,1.86%,-2.14%,0.05%,-1.09%,0.72%,-0.20%,0.24%,-0.23%,0.69%
0.33%,0.88%,0.33%,5.87%,2.60%,1.52%,7.34%,9.98%,-0.11%,1.97%,0.48%,1.31%,0.20%,-0.63%,0.34%,3.29%,0.41%,0.90%,0.97%,1.15%,-0.22%
-0.32%,-0.96%,-1.09%,-0.69%,-1.66%,-0.92%,-4.39%,-3.17%,-0.13%,-2.43%,-1.04%,-0.05%,-1.16%,0.57%,-0.39%,0.48%,-0.84%,0.90%,-0.11%,0.69%,-1.79%
-1.52%,-1.50%,-1.74%,-2.70%,-1.34%,0.43%,-2.81%,-4.57%,-2.71%,-2.25%,-3.33%,-2.80%,-2.34%,1.44%,-0.73%,-3.40%,1.89%,-0.04%,-5.57%,-1.67%,-3.43%
0.40%,0.30%,0.41%,0.03%,-0.28%,2.18%,-0.59%,5.34%,1.34%,-0.09%,-0.96%,-0.26%,-0.46%,-0.06%,0.64%,-0.82%,-2.01%,0.33%,-0.41%,0.41%,0.87%
2.58%,4.09%,2.31%,7.89%,4.79%,14.79%,4.19%,8.62%,3.35%,4.77%,4.06%,6.26%,3.06%,-0.84%,1.71%,4.36%,4.35%,-0.12%,5.02%,8.97%,4.53%
-0.45%,-1.13%,-1.00%,-2.10%,-1.69%,-0.76%,-0.98%,-2.61%,-1.48%,-1.19%,-0.71%,1.55%,-1.83%,0.16%,-0.62%,-1.54%,1.00%,-0.04%,-1.39%,-1.57%,-0.53%
0.74%,2.26%,-0.43%,0.65%,0.22%,0.26%,-0.32%,8.40%,-0.81%,5.44%,0.78%,1.08%,2.09%,1.64%,0.53%,-0.01%,-0.41%,-0.46%,1.57%,3.04%,0.15%
0.35%,-0.19%,0.97%,-1.01%,-1.03%,-3.37%,-0.01%,0.68%,-0.03%,0.43%,-0.29%,2.07%,-1.55%,0.87%,-0.53%,-0.34%,-0.94%,-0.93%,-0.42%,4.14%,-0.20%
0.00%,-0.44%,-0.48%,0.18%,0.19%,0.91%,0.99%,-2.78%,4.54%,1.00%,0.03%,8.21%,0.79%,1.33%,-0.05%,2.95%,4.45%,0.30%,-0.08%,-1.16%,0.21%
1.29%,0.26%,1.15%,-0.75%,-0.15%,0.67%,3.54%,3.85%,7.32%,0.30%,5.05%,4.58%,-0.01%,-0.16%,18.20%,6.74%,-1.26%,0.00%,3.77%,0.32%,1.83%
17.39%,15.60%,12.37%,40.87%,25.52%,19.66%,10.45%,18.20%,15.18%,15.23%,9.01%,10.27%,13.05%,0.13%,13.66%,11.91%,15.73%,-0.64%,12.99%,10.17%,11.20%
1.91%,-1.55%,-2.58%,26.21%,11.36%,3.89%,-3.45%,6.19%,-4.85%,5.28%,-3.46%,0.03%,0.05%,1.20%,13.94%,-1.26%,3.14%,0.00%,3.61%,6.66%,-0.43%
